"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Structural Groupname"
"Pseudoboleite","Pseudoboleite","Pb31Cu24Cl62(OH)48"," "
"Pseudobrookite","Pseudobrookite","(Fe3+2Ti)O5","Pseudobrookite"
"Pseudocotunnite","Pseudocotunnite","K2PbCl4 (?)"," "
"Pseudodickthomssenite","Pseudodickthomssenite","Mg(VO3)2·8H2O"," "
"Pseudograndreefite","Pseudograndreefite","Pb6(SO4)F10"," "
"Pseudojohannite","Pseudojohannite","Cu3(OH)2[(UO2)4O4(SO4)2]·12H2O"," "
"Pseudolaueite","Pseudolaueite","Mn2+Fe3+2(PO4)2(OH)2·8H2O","Stewartite"
"Pseudolyonsite","Pseudolyonsite","Cu3(VO4)2"," "
"Pseudomalachite","Pseudomalachite","Cu5(PO4)2(OH)4"," "
"Pseudomarkeyite","Pseudomarkeyite","Ca8(UO2)4(CO3)12(H2O)18·3H2O"," "
"Pseudomeisserite-(NH<sub>4</sub>)","Pseudomeisserite-(NH4)","(NH4)2Na4[(UO2)2(SO4)5]·4H2O"," "
"Pseudorutile","Pseudorutile","Fe3+2Ti4+3O9","Tivanite"
"Pseudosinhalite","Pseudosinhalite","Mg2Al3B2O9(OH)"," "
"Pseudowollastonite","Pseudowollastonite","CaSiO3"," "
"Pucherite","Pucherite","Bi(VO4)","Scheelite"
"Pumpellyite-(Al)","Pumpellyite-(Al)","Ca2Al3(Si2O7)(SiO4)(OH,O)2·H2O","Pumpellyite"
"Pumpellyite-(Fe<sup>2+</sup>)","Pumpellyite-(Fe2+)","Ca2Fe2+Al2(Si2O7)(SiO4)(OH,O)2·H2O","Pumpellyite"
"Pumpellyite-(Fe<sup>3+</sup>)","Pumpellyite-(Fe3+)","Ca2Fe3+Al2(Si2O7)(SiO4)(OH,O)2·H2O","Pumpellyite"
"Pumpellyite-(Mg)","Pumpellyite-(Mg)","Ca2MgAl2(Si2O7)(SiO4)(OH)2·H2O","Pumpellyite"
"Pumpellyite-(Mn<sup>2+</sup>)","Pumpellyite-(Mn2+)","Ca2Mn2+Al2(Si2O7)(SiO4)(OH)2·H2O","Pumpellyite"
"Puninite","Puninite","Na2Cu3O(SO4)3","Euchlorine"
"Punkaruaivite","Punkaruaivite","Li{Ti2(OH)2[Si4O11(OH)]}·H2O"," "
"Purpurite","Purpurite","Mn3+(PO4)","Olivine"
"Pushcharovskite","Pushcharovskite","K0.6Cu18[AsO2(OH)2]4[AsO3OH]10(AsO4)(OH)9.6·18.6H2O"," "
"Putnisite","Putnisite","SrCa4Cr3+8(CO3)8(SO4)(OH)16·25H2O"," "
"Putoranite","Putoranite","Cu1.1Fe1.2S2","Chalcopyrite"
"Puttapaite","Puttapaite","Pb2Mn2+2ZnCr3+4O2(AsO4)4(OH)6·12H2O"," "
"Putzite","Putzite","(Cu,Ag)8GeS6","Argyrodite"
"Pyatenkoite-(Y)","Pyatenkoite-(Y)","Na5YTiSi6O18·6H2O"," "
"Pyracmonite","Pyracmonite","(NH4)3Fe(SO4)3","Pyracmonite"
"Pyradoketosite","Pyradoketosite","Ag3SbS3"," "
"Pyrargyrite","Pyrargyrite","Ag3SbS3"," "
"Pyrite","Pyrite","FeS2","Pyrite"
"Pyroaurite","Pyroaurite","Mg6Fe3+2(CO3)(OH)16·4H2O","Hydrotalcite"
"Pyrobelonite","Pyrobelonite","PbMn2+VO4(OH)","Descloizite"
"Pyrochroite","Pyrochroite","Mn2+(OH)2","Brucite"
"Pyrolusite","Pyrolusite","MnO2","Rutile"
"Pyromorphite","Pyromorphite","Pb5(PO4)3Cl","Apatite"
"Pyrope","Pyrope","Mg3Al2(SiO4)3","Garnet"
"Pyrophanite","Pyrophanite","Mn2+TiO3","Corundum"
"Pyrophyllite","Pyrophyllite","Al2Si4O10(OH)2","Pyrophyllite"
"Pyrosmalite-(Fe)","Pyrosmalite-(Fe)","Fe2+8Si6O15(OH)10","Clay"
"Pyrosmalite-(Mn)","Pyrosmalite-(Mn)","Mn2+8Si6O15(OH,Cl)10","Clay"
"Pyrostilpnite","Pyrostilpnite","Ag3SbS3","Xanthoconite"
"Pyroxferroite","Pyroxferroite","Fe2+SiO3"," "
"Pyroxmangite","Pyroxmangite","Mn2+SiO3"," "
"Pyrrhotite","Pyrrhotite","Fe7S8","Nickeline"
"Qandilite","Qandilite","(Mg,Fe3+)2(Ti,Fe3+,Al)O4","Spinel"
"Qaqarssukite-(Ce)","Qaqarssukite-(Ce)","BaCe(CO3)2F"," "
"Qatranaite","Qatranaite","CaZn2(OH)6(H2O)2"," "
"Qeltite","Qeltite","Ca3TiSi2(Fe3+2Si)O14","Paqueite"
"Qilianshanite","Qilianshanite","NaH4(CO3)(BO3)·2H2O"," "
"Qingheiite","Qingheiite","NaNaMn(MgAl)(PO4)3","Alluaudite-Wyllieite"
"Qingsongite","Qingsongite","BN","Sphalerite"
"Qitianlingite","Qitianlingite","Fe2+2Nb2W6+O10","Columbite"
"Quadratite","Quadratite","AgCdAsS3","Quadratite"
"Quadridavyne","Quadridavyne","[(Na,K)6Cl2][Ca2Cl2][(Si6Al6O24)]","Cancrinite"
"Quadruphite","Quadruphite","Na6Na2(CaNa)2Na2Ti2Na2Ti2(Si2O7)2(PO4)4O4F2","Seidozerite-Murmanite"
"Quartz","Quartz","SiO2","Quartz"
"Queitite","Queitite","Zn2Pb4(Si2O7)(SiO4)(SO4)"," "
"Quenselite","Quenselite","PbMn3+O2(OH)"," "
"Quenstedtite","Quenstedtite","Fe3+2(SO4)3·11H2O"," "
"Quetzalcoatlite","Quetzalcoatlite","Cu2+3Zn6Te6+2O12(OH)6·(Ag,Pb,[box])Cl"," "
"Quijarroite","Quijarroite","Cu6HgPb2Bi4Se12"," "
"Quintinite","Quintinite","Mg4Al2(OH)12(CO3)·3H2O","Hydrotalcite"
"Qusongite","Qusongite","WC"," "
"Raadeite","Raadeite","Mg7(PO4)2(OH)8","Allactite"
"Rabbittite","Rabbittite","Ca3Mg3(UO2)2(CO3)6(OH)4·18H2O"," "
"Rabejacite","Rabejacite","Ca2[(UO2)4O4(SO4)2](H2O)8"," "
"Raberite","Raberite","Tl5Ag4As6SbS15"," "
"Radekškodaite-(Ce)","Radekskodaite-(Ce)","(CaCe5)(Al4Fe2+)[Si2O7][SiO4]5O(OH)3","Radekškodaite"
"Radekškodaite-(La)","Radekskodaite-(La)","(CaLa5)(Al4Fe2+)[Si2O7][SiO4]5O(OH)3","Radekškodaite"
"Radhakrishnaite","Radhakrishnaite","PbTe3(Cl,S)2"," "
"Radovanite","Radovanite","Cu2Fe3+[As5+O4][As3+O2(OH)]2·H2O"," "
"Radtkeite","Radtkeite","Hg3S2ClI"," "
"Raguinite","Raguinite","TlFeS2"," "
"Raisaite","Raisaite","CuMg[Te6+O4(OH)2]·6H2O"," "
"Raite","Raite","Na3Mn2+3Ti0.25(Si8O20)(OH)2·10H2O"," "
"Rajite","Rajite","CuTe4+2O5"," "
"Rakovanite","Rakovanite","(NH4)3Na3[V10O28]·12H2O"," "
"Ralphcannonite","Ralphcannonite","AgZn2TlAs2S6","Routhierite"
"Ramaccioniite","Ramaccioniite","Cu4[SeO4](OH)6","Brochantite"
"Ramanite-(Cs)","Ramanite-(Cs)","CsB5O6(OH)4·2H2O","Santite"
"Ramanite-(Rb)","Ramanite-(Rb)","RbB5O6(OH)4·2H2O","Santite"
"Ramazzoite","Ramazzoite","[Mg8Cu12(PO4)(CO3)4(OH)24(H2O)20][(H0.33SO4)3(H2O)36]"," "
"Rambergite","Rambergite","MnS","Wurtzite"
"Ramdohrite","Ramdohrite","Pb5.9Fe0.1Mn0.1In0.1Cd0.2Ag2.8Sb10.8S24","Lillianite"
"Rameauite","Rameauite","K2Ca(UO2)6O6(OH)4·6H2O","Compreignacite"
"Ramikite-(Y)","Ramikite-(Y)","Li4(Na,Ca)12(Y,Ca,REE)6Zr6(PO4)12(CO3)4O4[(OH),F]4"," "
"Rammelsbergite","Rammelsbergite","NiAs2","Löllingite"
"Ramosite","Ramosite","Pb25.7Sn8.3Mn3.4Sb6.4S56.2","Cylindrite"
"Ramsbeckite","Ramsbeckite","Cu15(SO4)4(OH)22·6H2O"," "
"Ramsdellite","Ramsdellite","MnO2","Ramsdellite"
"Ranciéite","Rancieite","(Ca,Mn2+)0.2(Mn4+,Mn3+)O2·0.6H2O"," "
"Rankachite","Rankachite","Ca0.5(V4+,V5+)(W6+,Fe3+)2O8(OH)·2H2O"," "
"Rankamaite","Rankamaite","(Na,K)3(Ta,Nb,Al)11(O,OH)31"," "
"Rankinite","Rankinite","Ca3Si2O7"," "
"Ransomite","Ransomite","CuFe3+2(SO4)4·6H2O"," "
"Ranunculite","Ranunculite","Al(UO2)(PO3OH)(OH)3·4H2O"," "
"Rapidcreekite","Rapidcreekite","Ca2(SO4)(CO3)·4H2O"," "
"Rappoldite","Rappoldite","PbCo2(AsO4)2·2H2O","Helmutwinklerite"
"Raslakite","Raslakite","Na15Ca3Fe3(Na,Zr)3Zr3(Si,Nb)Si25O73(OH,H2O)3(Cl,OH)","Eudialyte"
"Raspite","Raspite","Pb(WO4)"," "
"Rastsvetaevite","Rastsvetaevite","Na27K8Ca12Fe3Zr6Si52O144(OH,O)6Cl2","Eudialyte"
"Rasvumite","Rasvumite","KFe2S3","Cubanite"
"Rathite","Rathite","Ag2Pb12-xTlx/2As18+x/2S40","Sartorite"
"Rathite-IV","Rathite-IV","Pb3As5S10","Sartorite"
"Rauchite","Rauchite","Ni(UO2)2(AsO4)2·10H2O","Autunite"
"Rauenthalite","Rauenthalite","Ca3(AsO4)2·10H2O"," "
"Rauvite","Rauvite","Ca(UO2)2V10O28·16H2O"," "
"Ravatite","Ravatite","C14H10"," "
"Raygrantite","Raygrantite","Pb10Zn(SO4)6(SiO4)2(OH)2","Iranite"
"Rayite","Rayite","(Ag,Tl)2Pb8Sb8S21"," "
"Realgar","Realgar","AsS"," "
"Reaphookhillite","Reaphookhillite","MgZn2(PO4)2·4H2O","Parahopeite"
"Rebulite","Rebulite","Tl5Sb5As8S22"," "
"Rectorite","Rectorite","(Na,Ca)Al4(Si,Al)8O20(OH)4·2H2O","Clay"
"Redcanyonite","Redcanyonite","(NH4)2Mn[(UO2)4O4(SO4)2](H2O)4","Zippeite"
"Reddingite","Reddingite","Mn2+3(PO4)2·3H2O","Reddingite"
"Redgillite","Redgillite","Cu6(SO4)(OH)10·H2O"," "
"Redingtonite","Redingtonite","Fe2+Cr2(SO4)4·22H2O","Halotrichite"
"Redledgeite","Redledgeite","Ba(Ti6Cr3+2)O16","Coronadite"
"Redondite","Redondite","Al(PO4)·2H2O"," "
"Reederite-(Y)","Reederite-(Y)","(Na,Mn)15Y2(CO3)9(SO3F)Cl"," "
"Reedmergnerite","Reedmergnerite","NaBSi3O8","Feldspar"
"Reevesite","Reevesite","Ni6Fe3+2(CO3)(OH)16·4H2O","Hydrotalcite"
"Refikite","Refikite","C20H34O2"," "
"Reichenbachite","Reichenbachite","Cu5(PO4)2(OH)4"," "
"Reidite","Reidite","Zr(SiO4)"," "
"Reinerite","Reinerite","Zn3(AsO3)2"," "
"Reinhardbraunsite","Reinhardbraunsite","Ca5(SiO4)2(OH)2","Humite"
"Relianceite-(K)","Relianceite-(K)","K4Mg(V4+O)2(C2O4)(PO3OH)4(H2O)10","Oxalate"
"Rémondite-(Ce)","Remondite-(Ce)","Na3(Ce,Ca,Na)3(CO3)5","Burbankite"
"Rémondite-(La)","Remondite-(La)","Na3(La,Ca,Na)3(CO3)5","Burbankite"
"Renardite","Renardite","Pb(UO2)4(PO4)2(OH)4·7H2O"," "
"Rengeite","Rengeite","Sr4Ti4ZrO8(Si2O7)2","Chevkinite"
"Renierite","Renierite","(Cu1+,Zn)11Fe4(Ge4+,As5+)2S16","Germanite"
"Reppiaite","Reppiaite","Mn2+5(VO4)2(OH)4"," "
"Retgersite","Retgersite","Ni(SO4)·6H2O"," "
"Retzian-(Ce)","Retzian-(Ce)","Mn2+2Ce(AsO4)(OH)4","Retzian"
"Retzian-(La)","Retzian-(La)","Mn2+2La(AsO4)(OH)4","Retzian"
"Retzian-(Nd)","Retzian-(Nd)","Mn2+2Nd(AsO4)(OH)4","Retzian"
"Revdite","Revdite","Na16Si16O27(OH)26·28H2O"," "
"Reyerite","Reyerite","Na2Ca14Al2Si22O58(OH)8·6H2O","Gyrolite"
"Reynoldsite","Reynoldsite","Pb2Mn4+2O5(CrO4)"," "
"Rhabdoborite-(Mo)","Rhabdoborite-(Mo)","Mg12Mo6+1.33O6(BO3)6F2","Rhabdoborite"
"Rhabdoborite-(V)","Rhabdoborite-(V)","Mg12(V5+,Mo6+,W6+)1.5O6{[BO3]6-x[(P,As)O4]xF2-x} (x < 1)","Rhabdoborite"
"Rhabdoborite-(W)","Rhabdoborite-(W)","Mg12(W6+,V5+)1.5O6{[BO3]6-x[(P,As)O4]xF2-x} (x < 1)","Rhabdoborite"
"Rhabdophane-(Ce)","Rhabdophane-(Ce)","Ce(PO4)·H2O","Rhabdophane"
"Rhabdophane-(La)","Rhabdophane-(La)","La(PO4)·H2O","Rhabdophane"
"Rhabdophane-(Nd)","Rhabdophane-(Nd)","Nd(PO4)·H2O","Rhabdophane"
"Rhabdophane-(Y)","Rhabdophane-(Y)","Y(PO4)·H2O","Rhabdophane"
"Rheniite","Rheniite","ReS2"," "
"Rhodarsenide","Rhodarsenide","Rh2As","Barringerite"
"Rhodesite","Rhodesite","KHCa2Si8O19·5H2O","Rhodesite"
"Rhodium","Rhodium","Rh","Copper"
"Rhodizite","Rhodizite","KBe4Al4(B11Be)O28","Rhodizite"
"Rhodochrosite","Rhodochrosite","Mn(CO3)","Calcite"
"Rhodonite","Rhodonite","CaMn3Mn(Si5O15)","Rhodonite"
"Rhodostannite","Rhodostannite","Cu1+(Fe2+0.5Sn4+1.5)S4","Spinel"
"Rhodplumsite","Rhodplumsite","Rh3Pb2S2"," "
"Rhomboclase","Rhomboclase","(H5O2)Fe3+(SO4)2·2H2O"," "
"Rhönite","Rhonite","Ca4[Mg8Fe3+2Ti2]O4[Si6Al6O36]","Sapphirine"
"Ribbeite","Ribbeite","Mn2+5(SiO4)2(OH)2","Humite"
"Richardsite","Richardsite","Zn2CuGaS4","Stannite"
"Richardsollyite","Richardsollyite","TlPbAsS3"," "
"Richellite","Richellite","CaFe3+2(PO4)2(OH,F)2"," "
"Richelsdorfite","Richelsdorfite","Ca2Cu5Sb5+(AsO4)4(OH)6Cl·6H2O"," "
"Richetite","Richetite","(Fe3+,Mg)xPb2+8.6(UO2)36O36(OH)24·41H2O"," "
"Richterite","Richterite","Na(NaCa)Mg5Si8O22(OH)2","Amphibole"
"Rickardite","Rickardite","Cu3-xTe2"," "
"Rickturnerite","Rickturnerite","Pb7O4[Mg(OH)4](OH)Cl3"," "
"Riebeckite","Riebeckite","[box]Na2(Fe2+3Fe3+2)Si8O22(OH)2","Amphibole"
"Riesite","Riesite","TiO2","Columbite"
"Rietveldite","Rietveldite","Fe(UO2)(SO4)2(H2O)5","Svornostite"
"Rilandite","Rilandite","Cr6SiO11·5H2O (?)"," "
"Rimkorolgite","Rimkorolgite","BaMg5(PO4)4·8H2O"," "
"Ringwoodite","Ringwoodite","SiMg2O4","Spinel"
"Rinkite-(Ce)","Rinkite-(Ce)","(Ca3REE)Na(NaCa)Ti(Si2O7)2(OF)F2","Seidozerite-Rinkite"
"Rinkite-(Y)","Rinkite-(Y)","Na2Ca4YTi(Si2O7)2OF3","Seidozerite-Rinkite"
"Rinmanite","Rinmanite","Mg2Fe4Zn2Sb2O14(OH)2","Nolanite"
"Rinneite","Rinneite","K3NaFe2+Cl6","Rinneite"
"Riomarinaite","Riomarinaite","Bi(SO4)(OH)·H2O"," "
"Ríosecoite","Riosecoite","Ca2Mg(AsO3OH)3(H2O)2"," "
"Riotintoite","Riotintoite","Al(SO4)(OH)·3H2O"," "
"Rippite","Rippite","K2(Nb,Ti)2(Si4O12)O(O,F)"," "
"Rittmannite","Rittmannite","(Mn2+,Ca)Mn2+(Fe2+,Mn2+,Mg)2(Al,Fe3+)2(PO4)4(OH)2·8H2O","Jahnsite"
"Rivadavite","Rivadavite","Na6Mg[B6O7(OH)6]4·10H2O"," "
"Riversideite","Riversideite","Ca5Si6O16(OH)2·2H2O","Tobermorite"
"Roaldite","Roaldite","(Fe,Ni)4N"," "
"Robertsite","Robertsite","Ca2Mn3+3O2(PO4)3·3H2O","Arseniosiderite"
"Robinsonite","Robinsonite","Pb4Sb6S13"," "
"Rockbridgeite","Rockbridgeite","(Fe2+0.5Fe3+0.5)2Fe3+3(PO4)3(OH)5","Rockbridgeite"
"Rodalquilarite","Rodalquilarite","H3Fe3+2(Te4+O3)4Cl"," "
"Rodolicoite","Rodolicoite","Fe3+(PO4)","Quartz"
"Roeblingite","Roeblingite","Ca6Mn2+Pb2(Si3O9)2(SO4)2(OH)2·4H2O"," "
"Roedderite","Roedderite","KNaMg2(Mg3Si12)O30","Milarite"
"Rogermitchellite","Rogermitchellite","Na6Sr12Ba2Zr13Si39B6O123(OH)14·10H2O"," "
"Roggianite","Roggianite","Ca2BeAl2Si4O13(OH)2·nH2O (n < 2.5)"," "
"Rohaite","Rohaite","(Tl,Pb,K)2Cu8.7Sb2S4"," "
"Rokühnite","Rokuhnite","FeCl2·2H2O"," "
"Rollandite","Rollandite","Cu3(AsO4)2·4H2O"," "
"Romanèchite","Romanechite","(Ba,H2O)2(Mn4+,Mn3+)5O10"," "
"Romanorlovite","Romanorlovite","K11Cu9Cl25(OH)4·2H2O"," "
"Romarchite","Romarchite","SnO"," "
"Römerite","Romerite","Fe2+Fe3+2(SO4)4·14H2O"," "
"Rondorfite","Rondorfite","Ca8Mg(SiO4)4Cl2"," "
"Rongibbsite","Rongibbsite","Pb2(Si4Al)O11(OH)"," "
"Ronneburgite","Ronneburgite","K2MnV4O12"," "
"Röntgenite-(Ce)","Rontgenite-(Ce)","Ca2Ce3(CO3)5F3"," "
"Rooseveltite","Rooseveltite","Bi(AsO4)","Monazite"
"Roquesite","Roquesite","CuInS2","Chalcopyrite"
"Rorisite","Rorisite","CaClF","Matlockite"
"Rosasite","Rosasite","CuZn(CO3)(OH)2","Malachite"
"Roscherite","Roscherite","Ca2Mn2+5Be4(PO4)6(OH)4·6H2O","Roscherite"
"Roscoelite","Roscoelite","KV3+2(Si3Al)O10(OH)2","Mica"
"Roselite","Roselite","Ca2Co(AsO4)2·2H2O","Roselite"
"Roselite-β","Roselite-beta","Ca2Co(AsO4)2·2H2O","Fairfieldite"
"Rosemaryite","Rosemaryite","[box]NaMn2+(Fe3+Al)(PO4)3","Alluaudite-Wyllieite"
"Rosenbergite","Rosenbergite","AlF[F0.5(H2O)0.5]4·H2O","Rosenbergite"
"Rosenbuschite","Rosenbuschite","Ca6Zr2Na6ZrTi(Si2O7)4(OF)2F4","Seidozerite-Rinkite"
"Rosenhahnite","Rosenhahnite","Ca3Si3O8(OH)2"," "
"Roshchinite","Roshchinite","(Ag,Cu)19Pb10Sb51S96","Lillianite"
"Rosiaite","Rosiaite","PbSb2O6"," "
"Rosickýite","Rosickyite","S"," "
"Rosièresite","Rosieresite","[Pb,Cu,Al,PO4,H2O] (?)"," "
"Rossiantonite","Rossiantonite","Al3(PO4)(SO4)2(OH)2(H2O)10·4H2O"," "
"Rossite","Rossite","Ca(VO3)2·4H2O"," "
"Rösslerite","Rosslerite","Mg(AsO3OH)·7H2O"," "
"Rossmanite","Rossmanite","[box](Al2Li)Al6(Si6O18)(BO3)3(OH)3(OH)","Tourmaline"
"Rossovskyite","Rossovskyite","(Fe3+,Ta)(Nb,Ti)O4","Columbite"
"Rostite","Rostite","Al(SO4)(OH)·5H2O","Khademite"
"Roterbärite","Roterbarite","PdCuBiSe3","Lapieite"
"Rouaite","Rouaite","Cu2(NO3)(OH)3"," "
"Roubaultite","Roubaultite","Cu2O2(UO2)3(CO3)2(OH)2·4H2O"," "
"Roumaite","Roumaite","(Nb,Ti)(Ca,Na,[box])3(Ca,REE)4(Si2O7)2(OH)F3"," "
"Rouseite","Rouseite","Pb2Mn2+(AsO3)2·2H2O"," "
"Routhierite","Routhierite","TlCuHg2As2S6","Routhierite"
"Rouvilleite","Rouvilleite","Na3CaMn2+(CO3)3F"," "
"Rouxelite","Rouxelite","Cu2HgPb22Sb28S64(O,S)2"," "
"Roweite","Roweite","Ca2Mn2+2B4O7(OH)6"," "
"Rowlandite-(Y)","Rowlandite-(Y)","Fe2+Y4(Si2O7)2F2","Rowlandite"
"Rowleyite","Rowleyite","[Na(NH4,K)9Cl4][V5+,4+2(P,As)O8]6·n[H2O,Na,NH4,K,Cl]"," "
"Roxbyite","Roxbyite","Cu9S5"," "
"Roymillerite","Roymillerite","Pb24Mg9(Si10O28)(CO3)10(BO3)(SiO4)(OH)13O5","Molybdophyllite"
"Rozenite","Rozenite","Fe2+(SO4)·4H2O","Starkeyite"
"Rozhdestvenskayaite-(Zn)","Rozhdestvenskayaite-(Zn)","Ag6(Ag4Zn2)Sb4S13","Tetrahedrite"
"Rruffite","Rruffite","Ca2Cu(AsO4)2·2H2O","Roselite"
"Ruarsite","Ruarsite","RuAsS"," "
"Rubicline","Rubicline","Rb(AlSi3O8)","Feldspar"
"Rubinite","Rubinite","Ca3Ti3+2Si3O12","Garnet"
"Rucklidgeite","Rucklidgeite","PbBi2Te4","Tetradymite"
"Rudabányaite","Rudabanyaite","(Ag2Hg2)(AsO4)Cl"," "
"Rudashevskyite","Rudashevskyite","(Fe,Zn)S","Sphalerite"
"Rudenkoite","Rudenkoite","Sr3Al3.5Si3.5O10(OH,O)8Cl2·H2O"," "
"Rüdlingerite","Rudlingerite","Mn2+2V5+As5+O7·2H2O","Fianelite"
"Ruifrancoite","Ruifrancoite","Ca2([box],Mn)2(Fe3+,Mn,Mg)4Be4(PO4)6(OH)6·4H2O","Roscherite"
"Ruitenbergite","Ruitenbergite","Ca9B26O34(OH)24Cl4·13H2O"," "
"Ruizite","Ruizite","Ca2Mn3+2Si4O11(OH)4·2H2O","Ruizite"
"Rumoiite","Rumoiite","AuSn2"," "
"Rumseyite","Rumseyite","[Pb2OF]Cl"," "
"Rusakovite","Rusakovite","(Fe,Al)5(VO4)2(OH)9·3H2O"," "
"Rusinovite","Rusinovite","Ca10(Si2O7)3Cl2"," "
"Russellite","Russellite","Bi2WO6"," "
"Russoite","Russoite","(NH4)ClAs2O3(H2O)0.5"," "
"Rustenburgite","Rustenburgite","Pt3Sn","Auricupride"
"Rustumite","Rustumite","Ca10(Si2O7)2(SiO4)(OH)2Cl2"," "
"Ruthenarsenite","Ruthenarsenite","(Ru,Ni)As","Modderite"
"Rutheniridosmine","Rutheniridosmine","(Ir,Os,Ru)"," "
"Ruthenium","Ruthenium","Ru"," "
"Rutherfordine","Rutherfordine","(UO2)(CO3)"," "
"Rutile","Rutile","TiO2","Rutile"
"Ryabchikovite","Ryabchikovite","CuMgSi2O6","Pyroxene"
"Rynersonite","Rynersonite","CaTa2O6","Aeschynite"
"Saamite","Saamite","Ba[box]TiNbNa3Ti(Si2O7)2O2(OH)2(H2O)2","Seidozerite-Lamprophyllite"
"Sabatierite","Sabatierite","Cu6TlSe4"," "
"Sabelliite","Sabelliite","Cu2Zn(AsO4)(OH)3"," "
"Sabieite","Sabieite","(NH4)Fe3+(SO4)2","Sabieite"
"Sabinaite","Sabinaite","Na4TiZr2O4(CO3)4"," "
"Sabugalite","Sabugalite","HAl(UO2)4(PO4)4·16H2O"," "
"Saccoite","Saccoite","Ca2Mn3+2F(OH)8·0.5(SO4)"," "
"Sacrofanite","Sacrofanite","(Na61K19Ca32)Σ=112(Si84Al84O336)(SO4)26Cl2F6·2H2O","Cancrinite-sodalite"
"Sadanagaite","Sadanagaite","NaCa2(Mg3Al2)(Si5Al3)O22(OH)2","Amphibole"
"Saddlebackite","Saddlebackite","Pb2Bi2Te2S3","Tetradymite"
"Safflorite","Safflorite","CoAs2","Löllingite"
"Sahamalite-(Ce)","Sahamalite-(Ce)","Ce2Mg(CO3)4"," "
"Sahlinite","Sahlinite","Pb14O9(AsO4)2Cl4"," "
"Sailaufite","Sailaufite","(Ca,Na,[box])2Mn3+3O2(AsO4)2(CO3)·3H2O","Arseniosiderite"
"Sainfeldite","Sainfeldite","Ca5(AsO4)2(AsO3OH)2·4H2O","Hureaulite"
"Sakhaite","Sakhaite","Ca48Mg16(BO3)32(CO3)16·2(H2O,HCl)","Harkerite"
"Sakuraiite","Sakuraiite","(Cu,Zn,Fe)3(In,Sn)S4","Sphalerite"
"Salammoniac","Salammoniac","(NH4)Cl"," "
"Saléeite","Saleeite","Mg(UO2)2(PO4)2(H2O)10"," "
"Salesite","Salesite","Cu(IO3)(OH)"," "
"Saliotite","Saliotite","(Li,Na)Al3(Si3Al)O10(OH)5","Corrensite"
"Saltonseaite","Saltonseaite","K3NaMnCl6","Rinneite"
"Salzburgite","Salzburgite","Cu1.6Pb1.6Bi6.4S12","Meneghinite"
"Samaniite","Samaniite","Cu2Fe5Ni2S8"," "
"Samarskite-(Y)","Samarskite-(Y)","YFe3+Nb2O8"," "
"Samarskite-(Yb)","Samarskite-(Yb)","YbNbO4"," "
"Samfowlerite","Samfowlerite","Ca14Mn2+3Zn2Be2Be6Si14O52(OH)6"," "
"Sampleite","Sampleite","NaCaCu5(PO4)4Cl·5H2O"," "
"Samraite","Samraite","Ni2P2O7"," "
"Samsonite","Samsonite","Ag4MnSb2S6"," "
"Samuelsonite","Samuelsonite","Ca9Mn2+4Al2(PO4)10(OH)2"," "
"Sanbornite","Sanbornite","BaSi2O5"," "
"Sanderite","Sanderite","Mg(SO4)·2H2O"," "
"Saneroite","Saneroite","NaMn2+5[Si5O14(OH)](VO3)(OH)","Saneroite"
"Sangenaroite","Sangenaroite","Ag8(Sb8-xAsx)S16 (0 < x < 2)","Ferdowsiite"
"Sanguite","Sanguite","KCuCl3"," "
"Sanidine","Sanidine","K(AlSi3O8)","Feldspar"
"Sanjuanite","Sanjuanite","Al2(PO4)(SO4)(OH)·9H2O"," "
"Sanmartinite","Sanmartinite","Zn(WO4)","Wolframite"
"Sanrománite","Sanromanite","Na2CaPb3(CO3)5"," "
"Santabarbaraite","Santabarbaraite","Fe3+3(PO4)2(OH)3·5H2O"," "
"Santaclaraite","Santaclaraite","CaMn2+4Si5O14(OH)2·H2O"," "
"Santafeite","Santafeite","(Ca,Sr,Na)3(Mn2+,Fe3+)2Mn4+2(VO4)4(OH,O)5·2H2O"," "
"Santanaite","Santanaite","Pb11CrO16"," "
"Santarosaite","Santarosaite","CuB2O4"," "
"Santite","Santite","KB5O6(OH)4·2H2O","Santite"
"Saponite","Saponite","(Ca,Na)0.3(Mg,Fe)3(Si,Al)4O10(OH)2·4H2O","Smectite-vermiculite"
"Sapozhnikovite","Sapozhnikovite","Na8(Al6Si6O24)(HS)2","Sodalite"
"Sapphirine","Sapphirine","Mg4(Mg3Al9)O4[Si3Al9O36]","Sapphirine"
"Sarabauite","Sarabauite","Sb4S6·CaSb6O10"," "
"Saranchinaite","Saranchinaite","Na2Cu(SO4)2"," "
"Saranovskite","Saranovskite","SrCaFe2+ 2(Cr4Ti2)Ti12O38","Crichtonite"
"Sarcolite","Sarcolite","Na4Ca12Al8Si12O46(SiO4,PO4)(OH,H2O)4(CO3,Cl)"," "
"Sarcopside","Sarcopside","Fe2+3(PO4)2","Olivine-Sarcopside"
"Sardignaite","Sardignaite","BiMo2O7(OH)·2H2O"," "
"Sarkinite","Sarkinite","Mn2+2(AsO4)(OH)","Wagnerite"
"Sarmientite","Sarmientite","Fe3+2(AsO4)(SO4)(OH)·5H2O"," "
"Sarrabusite","Sarrabusite","Pb5CuCl4(SeO3)4"," "
